Block number,Coinbase emission,Total fees
610,17581954914001,0
611,17581938146542,0
612,17581921379099,0
613,17581904611673,0
614,17581887844262,0
615,17581871076867,0
616,17581854309488,0
617,17581837542125,0
618,17581820774778,0
619,17581804007447,0
620,17581787240132,0
621,17581770472833,0
622,17581753705551,0
623,17581736938284,0
624,17581720171033,0
625,17581703403798,0
626,17581686636579,0
627,17581669869376,0
628,17581653102189,0
629,17581636335018,0
630,17581619567863,0
631,17581602800724,0
632,17581586033601,0
633,17581569266494,0
634,17581552499403,0
635,17581535732328,0
636,17581518965268,0
637,17581502198225,0
638,17581485431198,0
639,17581468664187,0
640,17581451897192,0
641,17581435130213,0
642,17581418363250,0
643,17581401596303,0
644,17581384829372,0
645,17581368062456,0
646,17581351295557,0
647,17581334528674,0
648,17581317761807,0
649,17581300994956,0
650,17581284228120,0
651,17581267461301,0
652,17581250694498,0
653,17581233927711,0
654,17581217160939,0
655,17581200394184,0
656,17581183627445,0
657,17581166860722,0
658,17581150094014,0
659,17581133327323,0
660,17581116560648,0
661,17581099793988,0
662,17581083027345,0
663,17581066260718,0
664,17581049494106,0
665,17581032727511,0
666,17581015960932,0
667,17580999194368,0
668,17580982427821,0
669,17580965661290,0
670,17580948894774,0
671,17580932128275,0
672,17580915361791,0
673,17580898595324,0
674,17580881828872,0
675,17580865062437,0
676,17580848296017,0
677,17580831529614,0
678,17580814763227,0
679,17580797996855,0
680,17580781230500,0
681,17580764464160,0
682,17580747697836,0
683,17580730931529,0
684,17580714165237,0
685,17580697398962,0
686,17580680632702,0
687,17580663866459,0
688,17580647100231,0
689,17580630334019,0
690,17580613567824,0
691,17580596801644,0
692,17580580035481,0
693,17580563269333,0
694,17580546503201,0
695,17580529737086,0
696,17580512970986,0
697,17580496204902,0
698,17580479438835,0
699,17580462672783,0
700,17580445906747,0
701,17580429140727,0
702,17580412374724,0
703,17580395608736,0
704,17580378842764,0
705,17580362076808,0
706,17580345310869,0
707,17580328544945,0
708,17580311779037,0
709,17580295013145,0
710,17580278247269,0
711,17580261481409,0
712,17580244715566,0
713,17580227949738,0
714,17580211183926,0
715,17580194418130,0
716,17580177652350,0
717,17580160886586,0
718,17580144120838,0
719,17580127355106,0
720,17580110589390,0
721,17580093823690,0
722,17580077058006,0
723,17580060292339,0
724,17580043526687,0
725,17580026761051,0
726,17580009995431,0
727,17579993229827,0
728,17579976464238,0
729,17579959698666,0
730,17579942933110,0
731,17579926167570,0
732,17579909402046,0
733,17579892636538,0
734,17579875871046,0
735,17579859105570,1000000
736,17579842340110,0
737,17579825574666,0
738,17579808809238,0
739,17579792043825,0
740,17579775278429,0
741,17579758513049,0
742,17579741747685,0
743,17579724982337,0
744,17579708217005,0
745,17579691451688,0
746,17579674686388,0
747,17579657921104,0
748,17579641155836,0
749,17579624390583,0
750,17579607625347,0
751,17579590860127,0
752,17579574094923,0
753,17579557329734,0
754,17579540564562,0
755,17579523799406,0
756,17579507034265,0
757,17579490269141,0
758,17579473504032,0
759,17579456738940,0
760,17579439973864,0
761,17579423208803,0
762,17579406443759,0
763,17579389678730,0
764,17579372913718,0
765,17579356148722,0
766,17579339383741,0
767,17579322618777,0
768,17579305853828,0
769,17579289088896,0
770,17579272323979,0
771,17579255559079,0
772,17579238794194,0
773,17579222029326,0
774,17579205264473,0
775,17579188499637,0
776,17579171734816,0
777,17579154970011,0
778,17579138205223,0
779,17579121440450,0
780,17579104675694,0
781,17579087910953,0
782,17579071146228,1000000
783,17579054381520,0
784,17579037616827,0
785,17579020852150,0
786,17579004087490,0
787,17578987322845,0
788,17578970558216,0
789,17578953793603,0
790,17578937029007,0
791,17578920264426,0
792,17578903499861,0
793,17578886735312,0
794,17578869970780,0
795,17578853206263,0
796,17578836441762,0
797,17578819677277,0
798,17578802912808,0
799,17578786148355,0
800,17578769383919,0
801,17578752619498,0
802,17578735855093,0
803,17578719090704,0
804,17578702326331,0
805,17578685561974,0
806,17578668797633,0
807,17578652033308,0
808,17578635268999,0
809,17578618504706,0
810,17578601740429,0
811,17578584976168,0
812,17578568211923,0
813,17578551447694,0
814,17578534683481,0
815,17578517919284,0
816,17578501155103,0
817,17578484390938,0
818,17578467626789,0
819,17578450862656,0
820,17578434098539,0
821,17578417334438,0
822,17578400570352,0
823,17578383806283,0
824,17578367042230,0
825,17578350278193,0
826,17578333514172,0
827,17578316750167,0
828,17578299986177,0
829,17578283222204,0
830,17578266458247,0
831,17578249694306,0
832,17578232930380,0
833,17578216166471,0
834,17578199402578,0
835,17578182638701,0
836,17578165874839,0
837,17578149110994,0
838,17578132347165,0
839,17578115583351,0
840,17578098819554,0
841,17578082055772,0
842,17578065292007,0
843,17578048528258,0
844,17578031764524,0
845,17578015000807,0
846,17577998237105,0
847,17577981473420,0
848,17577964709750,0
849,17577947946097,0
850,17577931182460,0
851,17577914418838,0
852,17577897655233,0
853,17577880891643,0
854,17577864128069,0
855,17577847364512,0
856,17577830600970,0
857,17577813837445,0
858,17577797073935,0
859,17577780310442,0
860,17577763546964,0
861,17577746783502,0
862,17577730020057,0
863,17577713256627,0
864,17577696493213,0
865,17577679729816,0
866,17577662966434,0
867,17577646203068,0
868,17577629439718,0
869,17577612676385,0
870,17577595913067,0
871,17577579149765,0
872,17577562386479,0
873,17577545623210,0
874,17577528859956,0
875,17577512096718,0
876,17577495333496,0
